speed_kmh,engine_rpm,throttle_pos,coolant_temp,fuel_level,intake_air_temp,label
100.94,5067.0,88.32,81.8,27.1,23.6,AGGRESSIVE
38.89,905.0,9.84,101.5,25.2,30.1,SLOW
61.16,2988.0,49.66,89.5,54.7,26.8,NORMAL
138.25,5493.0,86.44,101.8,88.4,36.4,AGGRESSIVE
55.87,2261.0,42.38,93.1,88.4,36.6,NORMAL
30.85,1069.0,10.84,85.1,67.6,27.6,SLOW
26.11,1633.0,6.99,92.2,94.7,28.3,SLOW
66.77,2556.0,24.7,88.7,12.6,20.5,NORMAL
52.06,3000.0,49.18,97.0,87.5,39.2,NORMAL
46.2,2752.0,37.6,89.1,70.2,43.5,NORMAL
99.57,3614.0,91.38,89.0,21.2,28.7,AGGRESSIVE
65.58,2616.0,42.72,104.5,11.2,31.1,NORMAL
84.28,5829.0,91.16,104.1,70.4,29.2,AGGRESSIVE
43.52,2101.0,39.61,91.6,16.4,38.9,NORMAL
53.34,2480.0,47.72,104.9,91.0,29.7,NORMAL
56.61,3171.0,23.38,97.0,33.3,31.7,NORMAL
95.37,5482.0,77.77,104.3,44.9,29.2,AGGRESSIVE
34.51,1720.0,7.13,81.1,83.8,41.0,SLOW
50.84,3243.0,39.25,101.1,94.5,23.7,NORMAL
32.5,1649.0,15.66,97.4,47.6,26.1,SLOW
89.66,5284.0,65.67,102.6,24.7,46.5,AGGRESSIVE
104.35,3623.0,63.34,90.4,71.9,21.1,AGGRESSIVE
124.77,4985.0,86.07,80.1,62.5,21.4,AGGRESSIVE
32.83,1570.0,14.05,92.2,25.6,45.4,SLOW
66.44,3180.0,44.54,104.7,96.6,30.7,NORMAL
67.84,2095.0,39.47,92.7,18.6,32.7,NORMAL
44.27,2437.0,29.83,103.4,40.3,39.7,NORMAL
126.15,5675.0,71.37,80.9,38.7,33.3,AGGRESSIVE
81.57,3879.0,96.31,86.9,62.1,35.0,AGGRESSIVE
138.29,4933.0,60.17,100.5,98.7,34.4,AGGRESSIVE
61.37,2760.0,31.72,95.3,70.1,22.5,NORMAL
157.33,3500.0,94.95,102.4,98.4,43.9,AGGRESSIVE
23.8,1143.0,15.23,96.0,73.4,32.7,SLOW
131.02,4477.0,73.21,95.7,89.5,38.1,AGGRESSIVE
33.34,1333.0,7.11,82.5,48.0,36.6,SLOW
30.43,1223.0,7.04,92.4,26.6,34.0,SLOW
138.23,5185.0,99.85,100.3,27.9,49.2,AGGRESSIVE
146.44,4904.0,76.87,88.8,41.0,20.0,AGGRESSIVE
52.93,3060.0,22.21,86.0,51.4,27.4,NORMAL
28.35,1931.0,9.01,90.9,54.2,23.8,SLOW
43.49,2041.0,27.67,83.7,52.7,33.7,NORMAL
76.08,3266.0,38.37,88.9,87.3,20.0,NORMAL
126.02,6203.0,79.52,92.5,48.8,24.3,AGGRESSIVE
110.73,3720.0,73.46,100.0,14.5,34.5,AGGRESSIVE
34.41,1617.0,18.36,98.5,92.0,47.1,SLOW
65.83,2198.0,31.82,94.9,46.7,47.0,NORMAL
158.72,6169.0,90.44,94.1,65.1,45.8,AGGRESSIVE
96.03,4844.0,99.46,82.6,59.3,38.9,AGGRESSIVE
22.38,1330.0,10.17,103.9,80.3,49.9,SLOW
29.76,1413.0,5.63,94.2,83.5,28.4,SLOW
37.19,1500.0,7.94,97.0,48.0,33.2,SLOW
23.3,1187.0,10.72,84.7,95.8,21.7,SLOW
26.93,1873.0,17.75,98.2,97.2,32.6,SLOW
145.28,4016.0,83.9,84.4,28.2,45.8,AGGRESSIVE
32.17,1513.0,6.26,81.4,70.9,21.1,SLOW
72.98,3316.0,36.02,103.3,72.1,39.1,NORMAL
71.86,2944.0,29.85,97.1,98.8,22.5,NORMAL
158.63,3653.0,75.79,93.5,22.7,37.4,AGGRESSIVE
139.3,4998.0,85.16,102.8,92.1,28.5,AGGRESSIVE
73.91,3129.0,34.05,80.9,23.5,26.0,NORMAL
27.89,1522.0,7.42,91.0,34.7,41.2,SLOW
110.7,5029.0,80.15,94.6,97.2,41.1,AGGRESSIVE
60.83,2802.0,44.99,103.4,99.9,42.3,NORMAL
68.15,2743.0,40.19,86.2,72.7,48.0,NORMAL
148.01,6164.0,95.75,97.4,48.8,29.0,AGGRESSIVE
37.8,1418.0,7.08,80.5,61.9,28.9,SLOW
21.25,1264.0,10.38,80.6,61.5,45.7,SLOW
21.38,1461.0,19.19,87.5,87.6,20.3,SLOW
141.41,6219.0,87.31,97.2,10.2,21.4,AGGRESSIVE
43.98,2213.0,23.55,89.8,53.5,35.2,NORMAL
129.39,5862.0,92.77,94.7,24.8,43.5,AGGRESSIVE
156.19,4710.0,72.63,94.1,54.5,41.3,AGGRESSIVE
89.75,4777.0,83.74,82.5,90.9,28.7,AGGRESSIVE
22.41,1962.0,5.87,88.6,61.7,39.7,SLOW
35.87,1449.0,7.21,93.7,75.7,41.5,SLOW
40.83,2778.0,23.97,102.5,88.3,25.7,NORMAL
74.91,2985.0,38.66,95.5,83.7,36.0,NORMAL
88.26,3661.0,66.81,91.7,63.9,39.4,AGGRESSIVE
25.63,1132.0,9.49,97.3,85.6,49.9,SLOW
26.36,1336.0,8.18,91.8,42.9,33.2,SLOW
53.25,2913.0,27.69,91.9,69.5,37.1,NORMAL
28.26,1600.0,19.38,86.6,56.3,23.7,SLOW
118.76,6328.0,72.44,104.1,67.5,20.5,AGGRESSIVE
57.95,2338.0,46.58,96.0,89.2,27.4,NORMAL
22.18,1956.0,19.37,87.3,98.6,20.2,SLOW
49.42,3206.0,31.43,103.0,73.9,34.2,NORMAL
64.58,2605.0,33.07,84.0,67.2,34.1,NORMAL
152.33,5329.0,64.79,88.5,41.5,45.6,AGGRESSIVE
61.25,3252.0,31.95,100.9,19.5,39.8,NORMAL
45.79,2708.0,35.01,99.2,16.0,42.2,NORMAL
122.28,5156.0,68.51,82.4,77.2,31.1,AGGRESSIVE
62.63,3280.0,39.48,84.9,68.0,45.5,NORMAL
106.31,5582.0,65.2,82.4,83.9,38.0,AGGRESSIVE
79.48,3226.0,33.77,81.7,55.0,40.7,NORMAL
36.71,1955.0,18.38,80.7,67.6,49.0,SLOW
27.08,1104.0,5.69,95.1,20.2,42.7,SLOW
38.56,1018.0,18.9,87.6,32.9,24.3,SLOW
74.58,2114.0,45.84,92.4,53.9,20.7,NORMAL
144.38,6015.0,91.95,102.1,78.5,26.3,AGGRESSIVE
88.51,4560.0,68.66,101.6,19.9,21.9,AGGRESSIVE
69.91,2080.0,36.22,84.2,91.4,49.5,NORMAL
78.21,2615.0,39.64,103.2,15.7,30.0,NORMAL
148.96,6248.0,99.73,94.9,86.3,39.2,AGGRESSIVE
106.75,6317.0,82.58,83.9,93.0,43.7,AGGRESSIVE
24.18,1639.0,8.61,81.5,33.9,49.2,SLOW
93.96,4623.0,64.24,100.4,42.8,45.2,AGGRESSIVE
127.2,4065.0,97.1,93.5,70.1,22.8,AGGRESSIVE
73.42,2833.0,39.22,96.2,85.9,27.5,NORMAL
28.57,1777.0,15.83,103.5,60.1,24.6,SLOW
34.15,821.0,11.73,81.1,75.3,36.1,SLOW
25.32,1980.0,17.8,105.0,13.0,44.2,SLOW
60.48,3438.0,30.74,101.5,14.8,34.5,NORMAL
20.36,1765.0,18.45,93.4,49.9,20.5,SLOW
55.2,2886.0,32.67,83.7,89.8,26.2,NORMAL
89.55,6072.0,80.39,81.2,12.2,23.5,AGGRESSIVE
32.22,1079.0,14.84,95.5,50.4,30.4,SLOW
119.38,4129.0,81.43,96.9,63.1,23.9,AGGRESSIVE
88.76,5601.0,61.89,103.4,74.6,22.6,AGGRESSIVE
